age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
34,services,married,secondary,no,2021,yes,yes,cellular,17,51,6,148,8,other,no
58,retired,married,primary,no,4158,no,no,cellular,13,455,2,-1,0,unknown,yes
33,unemployed,single,secondary,no,233,yes,no,unknown,8,221,4,-1,0,unknown,no
69,housemaid,married,primary,no,1080,no,no,cellular,18,197,2,118,2,failure,no
35,management,married,tertiary,no,4286,yes,no,unknown,9,357,1,-1,0,unknown,no
47,technician,married,secondary,no,-18,yes,no,telephone,21,105,2,-1,0,unknown,no
37,admin.,divorced,tertiary,no,195,yes,no,cellular,29,39,1,-1,0,unknown,no
19,student,single,secondary,no,1803,no,no,cellular,10,59,1,-1,0,unknown,no
47,management,married,tertiary,no,385,yes,no,cellular,17,145,1,323,4,failure,no
45,admin.,married,secondary,no,985,yes,no,unknown,13,390,1,-1,0,unknown,no
59,blue-collar,married,primary,no,699,no,no,cellular,27,88,6,-1,0,unknown,no
44,technician,married,secondary,no,227,yes,yes,cellular,8,364,1,262,2,failure,no
31,blue-collar,married,primary,no,2085,yes,yes,unknown,19,488,3,-1,0,unknown,no
55,services,married,unknown,no,-45,yes,no,unknown,16,764,7,-1,0,unknown,no
31,management,single,tertiary,no,713,no,no,cellular,28,162,1,-1,0,unknown,no
51,blue-collar,divorced,primary,no,-380,yes,no,unknown,26,181,1,-1,0,unknown,no
61,blue-collar,single,primary,no,433,no,no,cellular,5,346,1,-1,0,unknown,no
43,technician,married,tertiary,no,80,no,no,cellular,28,9,32,-1,0,unknown,no
35,admin.,single,secondary,no,-32,no,yes,cellular,9,63,4,182,5,failure,yes
33,technician,single,tertiary,no,81,no,no,cellular,18,287,1,-1,0,unknown,no
35,blue-collar,married,primary,no,0,yes,no,cellular,10,421,1,-1,0,unknown,no
59,technician,married,secondary,no,0,yes,no,cellular,14,145,1,-1,0,unknown,no
32,management,married,tertiary,no,205,yes,no,cellular,5,141,4,-1,0,unknown,no
55,retired,married,primary,no,8894,no,no,unknown,11,262,1,-1,0,unknown,no
26,blue-collar,married,secondary,no,160,yes,no,cellular,18,252,4,-1,0,unknown,no
43,blue-collar,married,secondary,no,1437,yes,no,cellular,14,94,1,-1,0,unknown,no
